Application Access,First name,Last name,Country,Username,Mail,BU,Cost
CC,Albert,Mckinney,CN,albert.mckinney,albert.mckinney@email2.com,IT,700.00 €
CC,Kera,Swanson,CN,kera.swanson,kera.swanson@email2.com,IT,700.00 €
CC,Clarinda,Jenkins,CN,clarinda.jenkins,clarinda.jenkins@email2.com,IT,700.00 €
CC,Lucien,Sparks,CN,lucien.sparks,lucien.sparks@email2.com,IT,700.00 €
CC,Lael,Mckay,CN,lael.mckay,lael.mckay@email2.com,IT,700.00 €
CC,Halley,Cortez,CN,halley.cortez,halley.cortez@email2.com,IT,700.00 €
CC,Valrie,Coffey,CN,valrie.coffey,valrie.coffey@email2.com,IT,700.00 €
CC,Terrell,Colon,CN,terrell.colon,terrell.colon@email2.com,IT,700.00 €
CC,Georgianne,Hatfield,CN,georgianne.hatfield,georgianne.hatfield@email2.com,IT,700.00 €
CC,Lynna,King,CN,lynna.king,lynna.king@email2.com,IT,700.00 €
CC,Aaron,Burgess,CN,aaron.burgess,aaron.burgess@email2.com,IT,700.00 €
CC,Edgardo,Ross,CN,edgardo.ross,edgardo.ross@email2.com,IT,700.00 €
CC,Susy,Mcdaniel,CN,susy.mcdaniel,susy.mcdaniel@email2.com,IT,700.00 €
CC,Thaddeus,Vang,CN,thaddeus.vang,thaddeus.vang@email2.com,IT,700.00 €
CC,Joannie,Jordan,CN,joannie.jordan,joannie.jordan@email2.com,IT,700.00 €
CC,Duncan,Gamble,CN,duncan.gamble,duncan.gamble@email2.com,IT,700.00 €
CC,Anneliese,Montgomery,CN,anneliese.montgomery,anneliese.montgomery@email2.com,IT,700.00 €
CC,Shira,Hodges,CN,shira.hodges,shira.hodges@email2.com,IT,700.00 €
CC,Janene,Payne,CN,janene.payne,janene.payne@email2.com,IT,700.00 €
CC,Bernard,Rowe,CN,bernard.rowe,bernard.rowe@email2.com,IT,700.00 €
CC,Sharmaine,Pittman,CN,sharmaine.pittman,sharmaine.pittman@email2.com,IT,700.00 €
CC,Arvilla,Head,CN,arvilla.head,arvilla.head@email2.com,IT,700.00 €
CC,Vernon,Flowers,CN,vernon.flowers,vernon.flowers@email2.com,IT,700.00 €
